Class,Tab,Type,Name,ID,Description,RequiredLevel,RequiredClassAEInvestment,RequiredTabAEInvestment,RequiredClassPoints,RequiredAEInvestment,RequiredClassTEInvestment,RequiredTabTEInvestment,RequiredTEInvestment
General,General1,Ability,"'Stealth'",284579,"You turn into a crate, hidden to all but the most observant adventurers, also prevents movement since you have no legs.    This uses crate modifiers. Perfect for board players.",20,0,0,0,0,0,0,0
General,General1,Ability,"Amphibimorph",280140,"This spell belongs to Witch Doctor    Transform enemies at target location into a frog, making them unable to attack or cast spells, and slowing their movement speed by 25% for 40 sec. While transformed into a frog the enemy is considered a Beast.    Damage caused may interrupt the effect.",10,0,0,0,0,0,0,0
General,General1,Ability,"Ancient of Lore",281260,"This spell belongs to Primalist    Funnel nature's energies into yourself, transforming into an Ancient of Lore for 20 sec.    While active, your stats are increased by 10% and nearby party members have their costs reduced by 30%.    While transformed, your movement speed is reduced by 50%.    Applies |CffffffffAncient Weariness|r to nearby party members, preventing them from benefiting from another Ancient form for 10 min.",40,0,0,0,0,0,0,0
General,General1,Ability,"Ancient of War",281261,"This spell belongs to Primalist    Funnel nature's fury into yourself, transforming into an Ancient of War for 20 sec.    While active, nearby party members have their critical strike chance increased by 20%.    While transformed, your movement speed is reduced by 50%.    Applies |CffffffffAncient Weariness|r to nearby party members, preventing them from benefiting from another Ancient form for 10 min.",40,0,0,0,0,0,0,0
General,General1,Ability,"Backtrack",280080,"This spell belongs to Chronomancer    Marks an enemy's location, yanking them back to the location after 3.50 sec.",24,0,0,0,0,0,0,0
General,General1,Ability,"Bonds of Justice",280100,"This spell belongs to Starcaller  Send forth bonds of justice to an enemy, tethering them to you for 8 sec.  If the tether is broken through expiration or the target runs at least 10 yds from you, they are gripped back towards you, taking 33 Arcane damage.",25,0,0,0,0,0,0,0
General,General1,Ability,"Build: Noise Box",280310,"This spell belongs to Tinker    Build a Noise Box for 15 sec that periodically unleashes screeching noise on nearby enemies, interrupting spellcasts and preventing spells of that school from being cast for 3 sec.",10,0,0,0,0,0,0,0
General,General1,Ability,"Build: Repulsion Unit",280300,"This spell belongs to Tinker    Build a Repulsion Unit that periodically knocks back enemies within 6 yds every 5 sec for 20 sec.",10,0,0,0,0,0,0,0
General,General1,Ability,"Bushcraft",280984,"This spell belongs to Ranger    Gain the ability to craft Crude Leather from the Leather obtained from Skinning, gives you a chance to find it when Skinning beasts, and increases your Skinning speed.    Allows you to craft items that require Crude Leather.",8,0,0,0,0,0,0,0
General,General1,Ability,"Chaos Rush",280350,"This spell belongs to Felsworn    2 Charges, 10 sec recharge  Engulf yourself in fel energy and dash forward in the direction you are running.",30,0,0,0,0,0,0,0
General,General1,Ability,"Crushing Dissonance",280105,"This spell belongs to Cultist    Unleash a wave of maddening resonance, interrupting the current spell cast of all enemies around you and preventing any spell in that school from being cast for 2 sec.",10,0,0,0,0,0,0,0
General,General1,Ability,"Daring Escape",289263,"This spell belongs to Witch Hunter    Jump backwards, causing all ranged attacks to miss you for 2 sec.",25,0,0,0,0,0,0,0
General,General1,Ability,"Desynchronization",280795,"This spell belongs to Chronomancer    Shift an enemy out of sync with the present, causing their grip to fail, disarming their melee and ranged weapons for 6 sec.    Upon removal, they are resynced, preventing them from regenerating their health for 6 sec.",29,0,0,0,0,0,0,0
General,General1,Ability,"Dimensional Divergence",281120,"This spell belongs to Chronomancer    Swap places with a target player.    If they're an enemy, you steal 80% of their movement speed for 3 sec.",20,0,0,0,0,0,0,0
General,General1,Ability,"Dragon Leap",280545,"This spell belongs to Pyromancer    Leap to a target location and come crashing down, dealing 29 Fire damage to up to 10 nearby enemies.",10,0,0,0,0,0,0,0
General,General1,Ability,"Emerald Visage",285951,"Summons a visage of an emerald drake unleashes a poisonous breath on enemies, dealing 10 Nature damage and an additional 5 Nature damage every second for 5 seconds.    This ability is usable while shapeshifted.",10,0,0,0,0,0,0,0
General,General1,Ability,"Entomb",280060,"This spell belongs to Necromancer    Bury an enemy alive with necrotic energy, banishing them, preventing all actions and making them immune to damage for 4 sec.",10,0,0,0,0,0,0,0
General,General1,Ability,"Flesh Hook",282999,"Hook an enemy, pulling them to you, dealing 3 to 6 Physical damage and generating 10 rage.    This has a 45 sec cooldown when used versus players and Flesh Hook cannot be used against the same player for 30 sec.",10,0,0,0,0,0,0,0
General,General1,Ability,"From Life Comes Death",280200,"This spell belongs to Venomancer    For 20 sec, when you kill an enemy that yields experience or honor they now spawn a Big Mushroom beneath them. This effect can only occur once every 1 sec.    Big Mushroom Drop a Big Mushroom at target location that will explode after 2 sec.    When it explodes it deals 478 Nature damage to up to 12 enemies within 5 yds, piercing resistances and absorption effects.",30,0,0,0,0,0,0,0
General,General1,Ability,"Gravity Bomb",280425,"This spell belongs to Chronomancer    Place a gravity bomb on the target. After 6 sec they explode for 66 Chromatic damage in a 10 yds radius.    Directly before the explosion occurs, all enemies within 15 yds are teleported to the initial target.",10,0,0,0,0,0,0,0
General,General1,Ability,"Guarding Rune",280660,"This spell belongs to Runemaster    Inscribe a defensive rune beneath you in a 10 yd radius, summoning a barrier that causes allies within the radius to take 40% reduced Magic damage. Lasts 15 sec.",25,0,0,0,0,0,0,0
General,General1,Ability,"Halt",280005,"This spell belongs to Starcaller    Interrupt an enemy's current spell cast and prevents any spell in that school from being cast for 3 sec.",16,0,0,0,0,0,0,0
General,General1,Ability,"Hemostasis",281190,"This spell belongs to Bloodmage    Trap an enemy in a blood orb, horrifying them in place for 4 sec.    Reactivating this ability within 4 sec, instantly pops the Hemostasis, dealing 143 Shadow damage and reducing their healing received by 60% for 10 sec.",29,0,0,0,0,0,0,0
